,age.group,age.min,age.max,category,age.grp.id
1,0-4,0,4,Baby,1
2,10-14,10,14,Child,2
3,5-9,5,9,Child,3
4,15-19,15,19,Teenager,4
5,20-24,20,24,Teenager,5
6,25-29,25,29,Young Adult,6
7,30-34,30,34,Young Adult,7
8,35-39,35,39,Adult,8
9,40-44,40,44,Adult,9
10,45-49,45,49,Adult,10
11,50-54,50,54,Adult,11
12,55-59,55,59,Adult,12
13,60-64,60,64,Adult,13
14,65-69,65,69,Senior,14
15,70-74,70,74,Senior,15
16,75-79,75,79,Senior,16
17,80-84,80,84,Senior,17
18,85-89,85,89,Senior,18
19,90-94,90,94,Senior,19
20,-100,NA,100,Senior,20
21,95-99,95,99,Senior,21